User,Homonym/tweet for Ironic user,Homonym/tweet forNon-Ironic user,Homonyms/Ironic user,Homonym/Non-Ironic User
1,87.93,47.97,14.37190455,12.03511932
2,60.65,56.78,23.14351852,14.03311258
3,85.43,56.3,23.23766816,21.09735269
4,78.63,49.68,20.25103041,15.72186153
5,89.2,57.94,21.09735269,11.09
6,66.4,41.32,15.72186153,14.23
7,83.86,53.23,22.86,10.86
8,62.12,48.89,14.32,9.87
9,87.74,49.22,16.89,14.67
10,71.48,55.68,20.23,17.23
