lemmatized
"['israeli', 'occupation', 'force', 'brutally', 'assault', 'and', 'detain', 'palestinian', 'young', 'man', 'at', 'gate', 'bab', 'al', 'sahira', 'in', 'old', 'city', 'jerusalem']"
"['send', 'you', 'love', 'i', 'know', 'this', 'pain', 'all', 'too', 'well', 'absolutely', 'okay', 'to', 'not', 'be', 'okay', 'take', 'care', 'yourself', 'and', 'do', 'something', 'special', 'to', 'remember', 'them', 'sit', 'and', 'talk', 'to', 'them', 'little', 'do', 'help', 'ðŸ–¤']"
"['last', 'week', 'juror', 'hear', 'from', 'guy', 'reffitt', 'â€™', 's', 'friend', 'who', 'testify', 'with', 'immunity']"
"['in', 'love', 'with', 'taehyung', ""'s"", 'sweet', 'voice', 'amp', 'lovely', 'song', 'hashtag', '2m', 'shazams', 'v', 'kim', 'taehyung', 'listen', 'stream', 'and', 'shazam', 'hashtag', 'by', 'hashtag', 'long', 'chart', 'korean', 'ost', 'on', 'global', 'shazam']"
"['help', 'stop', 'scoundrel', 'who', 'destroy', 'my', 'homeland', 'your', 'country', 'be', 'next', 'putler', 'will', 'not', 'stop', 'he', 'monster', 'remember', 'history', 'putler', 'cover', 'all', 'bloody', 'deed', 'with', 'charity', 'close', 'airspace', 'over', 'ukraine', 'provide', 'aircraft']"
"['do', 'you', 'want', 'to', 'learn', 'to', 'hang', 'clean', 'like', 'jake', 'tarka', 'register', '2022', 'natick', 'summer', 'strength', 'and', 'conditioning', 'program', 'registration', 'information', 'come', 'soon']"
"['even', 'if', 'you', 'care', 'negative', 'amount', 'about', 'wrestle', 'sport', 'game', 'wwe', '2k22', 'go', 'to', 'answer', 'interesting', 'question', 'it', 'also', '1st', ""'simulation"", 'wrestling', 'game', 'not', 'make', 'my', 'yukes', 'even', 'aew', 'game', 'be', 'make', 'by', 'yukes', 'it', 'good', 'and', 'bad', 'change', 'guard']"
"['this', 'pakistan', 'â€™', 's', 'strong', 'car', 'mafia..', 'and', 'bad', 'people', 'still', 'love', 'to', 'buy', 'these', 'ghee', 'dhabasss']"
"['good', 'evening', 'dear', 'thank', 'you', 'so', 'much', 'we', 'all', 'try', 'to', 'stay', 'calm', 'and', 'strong', 'and', 'course', 'we', 'all', 'believe', 'and', 'pray', 'ðŸ™']"
"['â€”', 'random', 'direction', 'i', 'be', 'over', 'today', 'and', 'i', 'wish', 'this', 'lady', 'would', 'retire', 'already', 'because', 'she', 'be', 'nothing', 'but', 'pain', 'in', 'a', 'since', 'me', 'and', 'miranda', 'start', 'here', 'i', 'get', 'that', 'we', 'be', 'young', 'but', 'that', 'do', 'not', 'mean', 'you', 'should', 'ignore', 'what', 'we', 'say', 'when', 'we', 'have', 'absolutely', 'no', 'reason', 'to', 'â€”']"
"['remember', 'how', 'intense', 'juan', 'guaidÃ³', 'regime', 'change', 'campaign', 'be', 'i', 'do', 'not', 'know', 'what', 'kind', 'diplomatic', 'magic', 'you.s', 'can', 'do', 'to', 'suddenly', 'mend', 'relation', 'with', 'venezuela', 'ðŸ§']"
"['go', 'to', 'name', '``', 'lucky', ""''"", 'collectively', 'since', 'eventually', 'four-leaf', 'mutant', 'will', 'be', 'bear', 'if', 'enough', 'monkey', 'at', 'enough', 'typewriter', '...']"
"['just', 'be', 'patient', 'everything', 'you', 'desrve', 'll', 'get', 'at', 'proper', 'time']"
"['i', 'stop', 'plauinngw', 'her', 'because', 'id', 'get', 'so', 'mad']"
"['last', 'night', 'i', 'be', 'in', 'bad', 'pain', 'i', 'have', 'have', 'in', 'long', 'time', 'i', 'really', 'hope', 'i', 'get', 'well', 'soon', 'pain', 'not', 'something', 'i', 'enjoy']"
"['do', 'they', 'avoid', 'mini', 'ice', 'age', '2030s', 'science', 'japanese', 'solar', 'activity', 'and', 'cosmic', 'ray', 'not', 'carbon', 'dioxide', 'mini', 'ice', 'age', '2030s', 'polar', 'vortex', 'foretaste', 'mini', 'ice', 'age']"
"['on', 'field', 'this', 'guy', 'have', 'go', 'from', 'lb', 'to', 'guard', 'to', 'h-back', 'and', 'back', 'to', 'guard', '...', 'but', 'he', 'have', 'always', 'be', 'bass', 'man', ""'s"", 'football', 'legacy', 'will', 'always', 'be', 'that', 'great', 'teammate', 'your', 'fish', 'legacy', 'on', 'dissplay', 'here', 'you', 'deserve', 'this', 'congrats', 'hashtag', 'hashtag']"
"['finger', 'cross', 'i', 'land', 'this', '35', 'hour', 'job', 'because', 'wtf', 'si']"
"['people', 'here', 'wake', 'up', 'as', 'early', 'a', '5/6', 'be', 'to', 'start', 'their', 'days..', 'then', 'go', 'to', 'work', 'n', 'school..', 'at', '5pm', 'everyone', 'come', 'back', 'home', 'and', 'have', 'dinner', 'together', '...', 'by', '7pm..', 'everyone', 'clean', 'up', 'and', 'ready', 'to', 'bed', '...', 'at', '9', 'pm..everything', 'quite', 'and', 'calm', 'and', 'peaceful', '...']"
"['alexandar', 'vindman', 'american', 'hero', 'you', 'by', 'contrast', 'show', 'every', 'day', 'that', 'you', 'do', 'not', 'care', 'about', 'usa', 'and', 'your', 'antisemitism', 'and', 'racism', 'be', 'embarrass', 'you', 'speak', 'at', 'white', 'nationalist', 'conference', 'you', 'think', 'we', 'can', 'not', 'see', 'your', 'white', 'hood', 'but', 'we', 'can']"
"['you', 'be', 'strong', 'than', 'you', 'know', 'remember', 'that', 'after', 'storm', 'come', 'calm']"
"['check', 'out', 'this', 'listing', 'i', 'just', 'add', 'to', 'my', 'hashtag', 'closet', 'like', 'new', 'under', 'armour', 'marvel', 'youth', 'tee', 'shirt', 'hashtag']"
